CLAVE ENTIDAD,ENTIDAD,CLAVE MUNICIPIO,MUNICIPIO,PRODUCTO_ID,CULTIVO,SUPERFICE COSECHADA (ha),VOLUMEN DE LA PRODUCCIN (ton),VALOR DE LA PRODUCCIN (pesos),VALOR PROD/SUPCOSECHADA
17,Morelos,15,Miacatlàn,51100,Albahaca,9,56,"365,148","40,572"
4,Campeche,8,Tenabo,92900,Zapote,9,56,"163,551","18,172"
7,Chiapas,89,Tapachula,76100,MaraÐÑn,108,56,"223,715","2,071"
15,M_xico,102,Timilpan,91100,Triticale grano,25,56,"208,125","8,325"
12,Guerrero,54,San Miguel Totolapan,81300,Papaya,3,56,"336,070","112,023"
14,Jalisco,40,Hostotipaquillo,73900,LimÑn,5,57,"300,350","60,070"
12,Guerrero,25,Cuautepec,70500,Guanàbana,9,57,"167,400","18,600"
12,Guerrero,47,Pedro Ascencio Alquisiras,70600,Guayaba,8,57,"196,786","24,598"
10,Durango,35,Tepehuanes,55200,Semilla de avena grano,15,57,"596,925","39,795"
15,M_xico,99,Texcoco,75000,Semilla de maÕz grano,18,57,"2,192,190","125,268"
15,M_xico,54,Metepec,90500,Trigo grano,17,57,"189,275","11,134"
5,Coahuila,25,Piedras Negras,74900,MaÕz grano,20,57,"196,650","9,833"
7,Chiapas,71,Villa Comaltitlàn,50600,Aguacate,10,57,"216,166","21,617"
11,Guanajuato,7,Celaya,59200,Cebada grano,10,57,"208,050","20,805"
14,Jalisco,4,Amacueca,68400,Frijol,45,57,"722,840","16,063"
7,Chiapas,18,Coapilla,78500,Naranja,10,57,"72,232","7,223"
14,Jalisco,6,Ameca,58700,Càrtamo,52,57,"311,520","5,991"
17,Morelos,9,Huitzilac,71100,Haba verde,22,57,"194,480","8,840"
12,Guerrero,51,Quechultenango,50600,Aguacate,12,57,"396,891","33,074"
13,Hidalgo,38,Mineral del Chico,82300,Pera,7,57,"510,860","72,980"
13,Hidalgo,45,Omitlàn de Juàrez,82300,Pera,7,57,"464,940","66,420"
13,Hidalgo,67,Tezontepec de Aldama,71100,Haba verde,7,57,"141,500","20,214"
16,Michoacàn,61,Ocampo,82300,Pera,7,57,"211,806","30,258"
7,Chiapas,70,El Porvenir,68400,Frijol,103,57,"780,483","7,578"
3,Baja California Sur,3,La Paz,78400,Napa,3,58,"405,950","162,380"
7,Chiapas,100,Tumbalà,57000,Cacao,125,58,"1,804,550","14,436"
10,Durango,15,Nazas,68400,Frijol,113,58,"573,600","5,076"
12,Guerrero,61,Tixtla de Guerrero,61900,Cilantro,5,58,"147,718","29,544"
15,M_xico,116,Zacazonapan,89800,Tomate verde,5,58,"345,000","69,000"
17,Morelos,18,Temixco,73900,LimÑn,5,58,"353,625","70,725"
7,Chiapas,80,Siltepec,82300,Pera,30,58,"412,001","13,966"
17,Morelos,14,Mazatepec,51100,Albahaca,9,58,"367,958","39,565"
7,Chiapas,4,Altamirano,73900,LimÑn,10,58,"192,735","19,274"
12,Guerrero,44,Mochitlàn,50500,Agave,2,58,"140,717","78,176"
13,Hidalgo,66,Villa de Tezontepec,58100,Canola,32,58,"288,000","9,000"
13,Hidalgo,74,Tlaxcoapan,61200,Chile verde,8,58,"354,078","44,260"
5,Coahuila,4,Arteaga,68400,Frijol,120,58,"524,342","4,370"
7,Chiapas,17,Cintalapa,88800,Tamarindo,11,58,"132,825","12,075"
15,M_xico,62,Ocoyoacac,68100,Frambuesa,9,58,"1,647,300","193,800"
4,Campeche,8,Tenabo,75500,Mandarina,10,58,"170,591","17,059"
1,Aguascalientes,3,Calvillo,61200,Chile verde,6,58,"260,820","43,470"
3,Baja California Sur,1,ComondÏ,70600,Guayaba,10,58,"232,000","23,200"
11,Guanajuato,27,Salamanca,91200,Tuna,10,58,"171,780","17,178"
15,M_xico,34,Ecatzingo,82300,Pera,10,58,"214,600","21,460"
7,Chiapas,87,Suchiate,88700,Tabaco,32,58,"1,156,088","36,701"
17,Morelos,27,Totolapan,68400,Frijol,48,58,"505,069","10,479"
12,Guerrero,61,Tixtla de Guerrero,73300,Lechuga,8,58,"174,812","21,851"
15,M_xico,77,San SimÑn de Guerrero,65300,Durazno,10,58,"325,595","32,560"
16,Michoacàn,92,Tiquicheo de Nicolàs Romero,50800,AjonjolÕ,74,58,"1,005,512","13,588"
12,Guerrero,18,Copala,72200,Jamaica,150,59,"1,136,977","7,580"
12,Guerrero,26,Cuetzala del Progreso,62200,Ciruela,9,59,"291,495","32,388"
17,Morelos,3,Axochiapan,57400,Calabacita,4,59,"234,520","57,200"
12,Guerrero,7,Arcelia,58200,CaÐa de azucar,2,59,"55,708","27,854"
15,M_xico,77,San SimÑn de Guerrero,70600,Guayaba,10,59,"330,550","33,055"
17,Morelos,21,Tetecala,59400,Cebolla,3,59,"186,361","74,545"
8,Chihuahua,54,Riva Palacio,60100,Cereza,13,59,"5,290,500","406,962"
14,Jalisco,3,Ahualulco de Mercado,68900,Garbanzo forrajero,14,59,"92,209","6,586"
14,Jalisco,97,Tlajomulco de ZÏÐiga,73800,Lima,6,59,"240,960","40,160"
16,Michoacàn,28,Churintzio,68400,Frijol,49,59,"532,434","10,866"
16,Michoacàn,17,Contepec,75800,Manzana,10,59,"424,800","42,480"
12,Guerrero,29,Chilpancingo de Los Bravo,73900,LimÑn,16,59,"182,301","11,394"
15,M_xico,72,RayÑn,63100,Col (repollo),7,59,"249,275","35,611"
16,Michoacàn,61,Ocampo,75800,Manzana,8,59,"239,168","29,896"
15,M_xico,118,Zinacantepec,81100,Semilla de papa,5,59,"1,657,880","312,218"
12,Guerrero,62,Tlacoachistlahuaca,50800,AjonjolÕ,75,59,"997,452","13,299"
6,Colima,5,Cuauht_moc,73800,Lima,7,59,"140,220","21,572"
7,Chiapas,20,La Concordia,78500,Naranja,11,59,"148,250","13,477"
11,Guanajuato,24,Pueblo Nuevo,69400,Girasol,25,59,"474,720","18,801"
10,Durango,2,Canelas,75800,Manzana,22,59,"546,480","24,840"
14,Jalisco,63,Ocotlàn,69000,Garbanzo grano,45,59,"200,166","4,448"
17,Morelos,9,Huitzilac,71000,Haba grano,22,59,"689,040","31,320"
14,Jalisco,101,Tonalà,60600,ChÕa,119,60,"1,785,000","15,000"
16,Michoacàn,82,Tacàmbaro,75800,Manzana,7,60,"244,500","34,929"
7,Chiapas,73,RayÑn,57100,Caf_ cereza,124,60,"232,500","1,875"
13,Hidalgo,23,Francisco I. Madero,91200,Tuna,7,60,"269,862","38,552"
15,M_xico,119,Zumpahuacàn,74400,Macadamia,40,60,"1,458,480","36,462"
15,M_xico,34,Ecatzingo,55100,Avena grano,17,60,"186,102","10,947"
2,Baja California,2,Mexicali,82100,Pepino,3,60,"270,270","90,090"
2,Baja California,4,Tijuana,61200,Chile verde,4,60,"300,000","75,000"
6,Colima,7,Manzanillo,79200,Nopalitos,3,60,"207,642","69,214"
8,Chihuahua,5,AscensiÑn,89700,Tomate rojo (jitomate),4,60,"240,000","60,000"
8,Chihuahua,19,Chihuahua,59600,CebollÕn,5,60,"510,000","102,000"
8,Chihuahua,67,Valle de Zaragoza,63100,Col (repollo),2,60,"96,000","48,000"
11,Guanajuato,14,Dolores Hidalgo Cuna de la Independencia Nacional,91100,Triticale grano,20,60,"210,600","10,530"
11,Guanajuato,28,Salvatierra,59300,Semilla de cebada grano,15,60,"284,700","18,980"
11,Guanajuato,31,San Francisco del RincÑn,89800,Tomate verde,5,60,"267,900","59,533"
11,Guanajuato,37,Silao de La Victoria,59200,Cebada grano,12,60,"216,000","18,000"
12,Guerrero,31,General Canuto A. Neri,89700,Tomate rojo (jitomate),4,60,"263,700","65,925"
13,Hidalgo,37,Metztitlàn,70100,Granada,15,60,"432,000","28,800"
13,Hidalgo,76,Tula de Allende,77900,Nabo forrajero,5,60,"54,600","10,920"
14,Jalisco,37,El Grullo,73900,LimÑn,3,60,"312,250","104,083"
14,Jalisco,102,Tonaya,89800,Tomate verde,2,60,"372,000","186,000"
14,Jalisco,122,Zapotitlàn de Vadillo,57100,Caf_ cereza,60,60,"313,800","5,230"
15,M_xico,4,Almoloya de Alquisiras,62200,Ciruela,10,60,"288,000","28,800"
15,M_xico,32,Donato Guerra,68400,Frijol,80,60,"888,000","11,100"
15,M_xico,77,San SimÑn de Guerrero,89700,Tomate rojo (jitomate),4,60,"783,976","217,771"
15,M_xico,78,Santo Tomàs,62200,Ciruela,10,60,"240,000","24,000"
15,M_xico,119,Zumpahuacàn,88100,Sorgo grano,30,60,"196,000","6,533"
16,Michoacàn,35,La Huacana,78500,Naranja,12,60,"211,889","17,657"
16,Michoacàn,67,Penjamillo,66500,Espàrrago,20,60,"1,500,000","75,000"
17,Morelos,6,Cuautla,75500,Mandarina,3,60,"150,000","50,000"
10,Durango,9,GuanacevÕ,75800,Manzana,35,60,"290,295","8,294"
7,Chiapas,57,Motozintla,90500,Trigo grano,46,60,"245,861","5,345"
12,Guerrero,57,T_cpan de Galeana,70600,Guayaba,12,60,"440,909","36,439"
12,Guerrero,12,Ayutla de Los Libres,57000,Cacao,65,60,"469,245","7,219"
9,Distrito Federal,12,Tlalpan,60700,ChÕcharo,24,61,"757,988","31,583"
7,Chiapas,11,Bella Vista,75800,Manzana,17,61,"434,434","25,555"
14,Jalisco,20,Cabo Corrientes,75600,Mango,5,61,"93,771","18,754"
16,Michoacàn,64,Paràcuaro,70600,Guayaba,6,61,"266,801","44,467"
17,Morelos,25,Tlaquiltenango,57400,Calabacita,4,61,"213,150","50,750"
15,M_xico,101,Tianguistenco,61900,Cilantro,8,61,"366,720","45,840"
15,M_xico,123,Luvianos,61200,Chile verde,5,61,"304,640","67,698"
16,Michoacàn,93,Tlalpujahua,68400,Frijol,58,61,"662,954","11,430"
16,Michoacàn,102,Uruapan,74400,Macadamia,18,61,"501,840","27,880"
11,Guanajuato,39,Tarimoro,50700,Ajo,7,61,"1,053,500","150,500"
12,Guerrero,49,Pilcaya,59400,Cebolla,4,61,"168,000","48,000"
14,Jalisco,69,Quitupan,68900,Garbanzo forrajero,28,62,"48,294","1,725"
12,Guerrero,55,Taxco de AlarcÑn,54900,Avena forrajera en verde,5,62,"37,661","7,174"
14,Jalisco,54,El LimÑn,73800,Lima,7,62,"203,775","31,350"
14,Jalisco,35,EncarnaciÑn de DÕaz,79200,Nopalitos,2,62,"257,241","171,494"
12,Guerrero,12,Ayutla de Los Libres,62200,Ciruela,10,62,"258,048","25,805"
12,Guerrero,32,General Heliodoro Castillo,75600,Mango,10,62,"173,972","17,397"
12,Guerrero,66,Tlapa de Comonfort,58200,CaÐa de azucar,2,62,"75,826","37,913"
15,M_xico,86,Temascaltepec,57400,Calabacita,5,62,"327,352","65,470"
12,Guerrero,46,Ometepec,76100,MaraÐÑn,10,62,"253,788","25,379"
12,Guerrero,3,Ajuchitlàn del Progreso,57600,Calabaza,9,62,"271,839","31,981"
14,Jalisco,120,Zapopan,73800,Lima,10,62,"264,764","27,580"
16,Michoacàn,52,Làzaro Càrdenas,89700,Tomate rojo (jitomate),7,62,"261,660","37,380"
17,Morelos,2,Atlatlahucan,68400,Frijol,48,62,"519,430","10,799"
15,M_xico,93,Tepetlaoxtoc,57400,Calabacita,4,62,"201,133","57,467"
14,Jalisco,75,San Marcos,88100,Sorgo grano,12,62,"193,633","16,136"
16,Michoacàn,66,Pàtzcuaro,68400,Frijol,48,62,"502,560","10,470"
7,Chiapas,98,Totolapa,62200,Ciruela,10,63,"145,600","14,560"
16,Michoacàn,99,Tuzantla,83900,Plàtano,5,63,"112,500","22,500"
14,Jalisco,97,Tlajomulco de ZÏÐiga,56700,BrÑcoli,4,63,"199,660","57,046"
10,Durango,1,Canatlàn,68500,Semilla de frijol,56,63,"1,378,080","24,609"
7,Chiapas,10,Bejucal de Ocampo,68400,Frijol,120,63,"851,684","7,097"
7,Chiapas,33,Francisco LeÑn,57100,Caf_ cereza,45,63,"242,190","5,382"
11,Guanajuato,15,Guanajuato,63100,Col (repollo),3,63,"113,400","37,800"
11,Guanajuato,36,Santiago MaravatÕo,57400,Calabacita,5,63,"226,800","45,360"
13,Hidalgo,44,Nopala de Villagràn,59200,Cebada grano,70,63,"157,016","2,243"
13,Hidalgo,61,Tepeapulco,58100,Canola,30,63,"428,400","14,280"
15,M_xico,48,Jocotitlàn,79200,Nopalitos,2,63,"223,545","149,030"
15,M_xico,76,San Mateo Atenco,51700,Alfalfa verde,3,63,"31,971","10,657"
15,M_xico,119,Zumpahuacàn,68400,Frijol,40,63,"765,000","19,125"
15,M_xico,68,Ozumba,55100,Avena grano,19,63,"195,233","10,275"
15,M_xico,29,Chicoloapan,61900,Cilantro,5,63,"189,552","37,910"
7,Chiapas,98,Totolapa,92900,Zapote,19,63,"137,370","7,230"
16,Michoacàn,40,Indaparapeo,65400,Ebo (janamargo o veza),8,63,"61,936","7,742"
14,Jalisco,84,Talpa de Allende,57900,Camote,3,63,"489,540","163,180"
15,M_xico,97,Texcaltitlàn,50600,Aguacate,6,63,"497,700","82,950"
12,Guerrero,46,Ometepec,82900,PiÐa,5,64,"271,952","54,390"
16,Michoacàn,64,Paràcuaro,58500,Carambolo,9,64,"512,767","56,974"
12,Guerrero,35,Iguala de La Independencia,66800,Estropajo,57,64,"2,471,220","43,355"
15,M_xico,25,Chalco,71000,Haba grano,35,64,"987,350","28,210"
