CLAVE ENTIDAD,ENTIDAD,CLAVE MUNICIPIO,MUNICIPIO,PRODUCTO_ID,CULTIVO,SUPERFICE COSECHADA (ha),VOLUMEN DE LA PRODUCCIN (ton),VALOR DE LA PRODUCCIN (pesos),VALOR PROD/SUPCOSECHADA
16,Michoacàn,111,Ziracuaretiro,75400,Mamey,7,64,"201,252","28,750"
15,M_xico,40,Ixtapan de La Sal,73900,LimÑn,8,64,"304,200","38,025"
10,Durango,26,San Dimas,81000,Papa,23,64,"510,400","22,191"
16,Michoacàn,6,Apatzingàn,75400,Mamey,13,64,"418,120","33,450"
15,M_xico,9,Amecameca,57400,Calabacita,5,64,"233,235","51,830"
15,M_xico,11,Atenco,92700,Zanahoria,2,64,"204,672","85,280"
3,Baja California Sur,1,ComondÏ,50600,Aguacate,16,64,"896,000","56,000"
6,Colima,1,ArmerÕa,61200,Chile verde,4,64,"224,000","56,000"
8,Chihuahua,2,Aldama,82100,Pepino,4,64,"448,000","112,000"
8,Chihuahua,21,Delicias,73300,Lechuga,2,64,"320,000","160,000"
10,Durango,5,Durango,91200,Tuna,4,64,"249,600","62,400"
11,Guanajuato,1,Abasolo,70600,Guayaba,10,64,"233,700","23,370"
11,Guanajuato,27,Salamanca,70600,Guayaba,10,64,"202,333","20,233"
12,Guerrero,67,Tlapehuala,73900,LimÑn,10,64,"212,457","21,246"
14,Jalisco,29,CuquÕo,57400,Calabacita,4,64,"150,400","42,971"
14,Jalisco,96,Tizapàn El Alto,62200,Ciruela,5,64,"270,400","54,080"
15,M_xico,110,Valle de Bravo,93100,Zarzamora,8,64,"768,000","96,000"
15,M_xico,111,Villa de Allende,58100,Canola,20,64,"256,000","12,800"
16,Michoacàn,47,Jungapeo,92900,Zapote,8,64,"193,920","24,240"
16,Michoacàn,79,Salvador Escalante,68100,Frambuesa,8,64,"3,606,400","450,800"
16,Michoacàn,102,Uruapan,89800,Tomate verde,8,64,"364,800","45,600"
17,Morelos,10,Jantetelco,71500,Higo,8,64,"576,280","72,035"
2,Baja California,4,Tijuana,59600,CebollÕn,5,64,"192,264","38,453"
8,Chihuahua,47,Moris,75800,Manzana,12,64,"247,920","20,660"
13,Hidalgo,3,Actopan,65300,Durazno,10,64,"848,920","84,892"
16,Michoacàn,111,Ziracuaretiro,74200,Litchi,9,64,"556,077","61,786"
10,Durango,4,Cuencam_,87700,Sorgo escobero,63,64,"185,832","2,950"
5,Coahuila,19,Morelos,90500,Trigo grano,43,65,"206,497","4,802"
10,Durango,13,MapimÕ,90600,Semilla de trigo grano,12,65,"452,480","37,707"
